user_license_id,account_id,customer_id,user_email,user_role,activated_date,last_login_date,status
UL000056,ACC002,CUST002,user56@example.com,Viewer,2024-07-04,2024-10-07,active
UL000057,ACC002,CUST002,user57@example.com,Admin,2024-02-13,2024-10-02,active
UL000058,ACC002,CUST002,user58@example.com,Viewer,2024-02-28,2024-10-03,active
UL000059,ACC002,CUST002,user59@example.com,Power User,2023-10-04,2024-02-24,active
UL000060,ACC002,CUST002,user60@example.com,Power User,2023-11-22,2024-10-05,active
UL000061,ACC002,CUST002,user61@example.com,Viewer,2024-04-06,2024-10-01,active
UL000062,ACC002,CUST002,user62@example.com,Viewer,2023-12-31,2024-09-25,active
UL000063,ACC002,CUST002,user63@example.com,Viewer,2024-04-19,2024-10-10,active
UL000064,ACC002,CUST002,user64@example.com,Viewer,2024-06-18,2024-10-11,active
UL000065,ACC002,CUST002,user65@example.com,Viewer,2023-10-09,2024-09-23,active
UL000066,ACC002,CUST002,user66@example.com,Viewer,2024-03-14,2024-10-15,active
UL000067,ACC002,CUST002,user67@example.com,Power User,2023-09-16,2024-10-12,active
UL000068,ACC002,CUST002,user68@example.com,Viewer,2023-10-30,2024-10-13,active
UL000069,ACC002,CUST002,user69@example.com,Viewer,2024-01-31,2024-10-11,active
UL000070,ACC002,CUST002,user70@example.com,Admin,2023-09-14,2024-09-20,active
UL000071,ACC002,CUST002,user71@example.com,Admin,2024-01-03,2024-10-06,active
UL000072,ACC002,CUST002,user72@example.com,Admin,2024-03-23,2024-09-20,active
UL000073,ACC002,CUST002,user73@example.com,Admin,2023-09-23,2024-09-22,active
UL000074,ACC002,CUST002,user74@example.com,Power User,2024-02-11,2024-09-29,active
UL000075,ACC002,CUST002,user75@example.com,Power User,2024-02-07,2024-08-13,active
UL000076,ACC002,CUST002,user76@example.com,Viewer,2024-03-04,2024-10-11,active
UL000077,ACC002,CUST002,user77@example.com,Power User,2024-09-07,2024-09-16,active
UL000078,ACC002,CUST002,user78@example.com,Viewer,2023-11-15,2024-10-17,active
UL000079,ACC002,CUST002,user79@example.com,Power User,2024-09-11,,inactive
UL000080,ACC002,CUST002,user80@example.com,Viewer,2023-10-11,2024-10-15,active
UL000081,ACC002,CUST002,user81@example.com,Viewer,2024-07-30,2024-08-30,active
UL000082,ACC002,CUST002,user82@example.com,Viewer,2024-06-03,,inactive
UL000083,ACC002,CUST002,user83@example.com,Viewer,2024-01-04,2024-04-09,active
UL000084,ACC002,CUST002,user84@example.com,Viewer,2024-08-09,2024-10-12,active
UL000085,ACC002,CUST002,user85@example.com,Viewer,2024-08-26,2024-09-30,active
UL000086,ACC002,CUST002,user86@example.com,Power User,2023-11-08,,inactive
UL000087,ACC002,CUST002,user87@example.com,Viewer,2024-06-27,2024-09-27,active
UL000088,ACC002,CUST002,user88@example.com,Admin,2023-10-29,2024-10-12,active
UL000089,ACC002,CUST002,user89@example.com,Viewer,2024-01-16,2024-10-16,active
UL000090,ACC002,CUST002,user90@example.com,Power User,2024-01-24,2024-09-23,active
UL000091,ACC002,CUST002,user91@example.com,Power User,2023-11-25,2024-09-18,active
UL000092,ACC002,CUST002,user92@example.com,Power User,2023-10-05,2024-09-28,active
UL000093,ACC002,CUST002,user93@example.com,Power User,2024-03-09,2024-10-13,active
UL000094,ACC002,CUST002,user94@example.com,Admin,2024-07-15,2024-09-29,active
UL000095,ACC002,CUST002,user95@example.com,Viewer,2024-07-26,2024-09-25,active
UL000096,ACC002,CUST002,user96@example.com,Viewer,2024-02-22,2024-09-27,active
UL000097,ACC002,CUST002,user97@example.com,Viewer,2024-05-20,2024-09-28,active
UL000098,ACC002,CUST002,user98@example.com,Viewer,2024-03-23,2024-09-18,active
UL000099,ACC002,CUST002,user99@example.com,Power User,2024-06-16,2024-10-11,active
UL000100,ACC002,CUST002,user100@example.com,Power User,2024-02-08,2024-10-04,active
UL000101,ACC002,CUST002,user101@example.com,Viewer,2024-07-06,2024-09-18,active
UL000102,ACC002,CUST002,user102@example.com,Viewer,2023-12-31,2024-10-13,active
UL000103,ACC002,CUST002,user103@example.com,Viewer,2024-07-06,2024-10-12,active
UL000104,ACC002,CUST002,user104@example.com,Power User,2023-12-02,2024-10-10,active
UL000105,ACC002,CUST002,user105@example.com,Power User,2024-05-06,2024-10-15,active
UL000106,ACC002,CUST002,user106@example.com,Viewer,2024-01-18,2024-09-04,active
UL000107,ACC002,CUST002,user107@example.com,Power User,2024-05-24,,inactive
UL000108,ACC002,CUST002,user108@example.com,Viewer,2024-02-08,2024-10-11,active
UL000109,ACC002,CUST002,user109@example.com,Power User,2024-06-23,2024-10-09,active
UL000110,ACC002,CUST002,user110@example.com,Viewer,2023-10-22,2024-09-30,active
UL000111,ACC002,CUST002,user111@example.com,Viewer,2024-01-12,2024-09-23,active
UL000112,ACC002,CUST002,user112@example.com,Viewer,2024-01-19,2024-10-09,active
UL000113,ACC002,CUST002,user113@example.com,Admin,2024-02-19,2024-10-03,active
UL000114,ACC002,CUST002,user114@example.com,Viewer,2024-06-04,2024-07-15,active
UL000115,ACC002,CUST002,user115@example.com,Viewer,2023-09-27,2024-09-18,active
UL000116,ACC002,CUST002,user116@example.com,Power User,2024-04-03,2024-10-16,active
UL000117,ACC002,CUST002,user117@example.com,Power User,2024-09-02,,inactive
UL000118,ACC002,CUST002,user118@example.com,Viewer,2023-09-23,2024-10-08,active
UL000119,ACC002,CUST002,user119@example.com,Viewer,2023-09-17,2024-10-09,active
UL000120,ACC002,CUST002,user120@example.com,Viewer,2024-04-02,2024-09-26,active
UL000121,ACC002,CUST002,user121@example.com,Viewer,2024-08-22,2024-10-17,active
UL000122,ACC002,CUST002,user122@example.com,Power User,2024-07-05,2024-09-29,active
UL000123,ACC002,CUST002,user123@example.com,Power User,2024-06-05,2024-10-16,active
UL000124,ACC002,CUST002,user124@example.com,Viewer,2024-06-22,2024-09-30,active
UL000125,ACC002,CUST002,user125@example.com,Viewer,2024-07-24,2024-08-01,active
UL000126,ACC002,CUST002,user126@example.com,Viewer,2024-01-03,2024-10-17,active
UL000127,ACC002,CUST002,user127@example.com,Viewer,2024-06-17,2024-09-23,active
UL000128,ACC002,CUST002,user128@example.com,Viewer,2024-09-07,2024-09-23,active
UL000129,ACC002,CUST002,user129@example.com,Viewer,2024-07-07,2024-09-27,active
UL000130,ACC002,CUST002,user130@example.com,Power User,2024-07-26,2024-10-05,active
UL000131,ACC002,CUST002,user131@example.com,Power User,2023-09-19,2024-09-25,active
UL000132,ACC002,CUST002,user132@example.com,Viewer,2024-07-20,2024-09-29,active
UL000133,ACC002,CUST002,user133@example.com,Power User,2023-12-15,2024-08-03,active
UL000134,ACC002,CUST002,user134@example.com,Viewer,2024-05-25,2024-10-07,active
UL000135,ACC002,CUST002,user135@example.com,Viewer,2024-02-07,2024-09-21,active
UL000136,ACC002,CUST002,user136@example.com,Viewer,2024-02-27,2024-10-03,active
UL000137,ACC002,CUST002,user137@example.com,Viewer,2023-12-04,2024-10-01,active
UL000138,ACC002,CUST002,user138@example.com,Viewer,2024-04-05,2024-09-29,active
UL000139,ACC002,CUST002,user139@example.com,Power User,2023-11-17,,inactive
UL000140,ACC002,CUST002,user140@example.com,Viewer,2024-03-08,2024-09-22,active
UL000141,ACC002,CUST002,user141@example.com,Viewer,2023-11-17,2024-09-21,active
UL000142,ACC002,CUST002,user142@example.com,Viewer,2024-04-08,2024-09-24,active
UL000143,ACC002,CUST002,user143@example.com,Viewer,2023-12-06,2024-01-26,active
UL000144,ACC002,CUST002,user144@example.com,Power User,2024-07-20,2024-10-13,active
UL000145,ACC002,CUST002,user145@example.com,Power User,2024-06-28,2024-09-13,active
UL000146,ACC002,CUST002,user146@example.com,Viewer,2024-04-14,2024-10-11,active
UL000147,ACC002,CUST002,user147@example.com,Viewer,2024-08-19,2024-09-22,active
UL000148,ACC002,CUST002,user148@example.com,Power User,2023-09-21,2023-12-30,active
UL000149,ACC003,CUST003,user149@example.com,Power User,2024-05-06,2024-09-29,active
UL000150,ACC003,CUST003,user150@example.com,Power User,2023-12-25,2024-10-05,active
UL000151,ACC003,CUST003,user151@example.com,Viewer,2024-04-20,2024-09-28,active
UL000152,ACC003,CUST003,user152@example.com,Viewer,2024-06-24,2024-10-11,active
UL000153,ACC003,CUST003,user153@example.com,Viewer,2024-01-29,2024-09-22,active
UL000154,ACC003,CUST003,user154@example.com,Power User,2023-10-29,2023-12-22,active
UL000155,ACC003,CUST003,user155@example.com,Power User,2023-09-19,2024-09-17,active
UL000156,ACC003,CUST003,user156@example.com,Viewer,2024-03-09,2024-09-22,active
UL000157,ACC003,CUST003,user157@example.com,Viewer,2024-03-14,2024-10-11,active
UL000158,ACC003,CUST003,user158@example.com,Viewer,2023-09-20,2023-11-17,active
UL000159,ACC003,CUST003,user159@example.com,Viewer,2024-08-04,2024-09-18,active
UL000160,ACC003,CUST003,user160@example.com,Viewer,2024-08-10,2024-10-02,active
UL000161,ACC003,CUST003,user161@example.com,Viewer,2023-11-14,2024-09-28,active
UL000162,ACC003,CUST003,user162@example.com,Viewer,2024-09-06,2024-10-11,active
UL000163,ACC003,CUST003,user163@example.com,Power User,2024-08-31,2024-10-16,active
UL000164,ACC003,CUST003,user164@example.com,Viewer,2024-05-03,2024-09-30,active
UL000165,ACC003,CUST003,user165@example.com,Power User,2024-05-21,2024-05-24,active
UL000166,ACC003,CUST003,user166@example.com,Viewer,2024-03-12,2024-10-11,active
UL000167,ACC003,CUST003,user167@example.com,Power User,2024-08-01,2024-08-30,active
UL000168,ACC003,CUST003,user168@example.com,Viewer,2023-12-18,2024-09-18,active
UL000169,ACC003,CUST003,user169@example.com,Viewer,2023-11-05,2024-10-10,active
UL000170,ACC003,CUST003,user170@example.com,Viewer,2024-08-07,2024-09-23,active
UL000171,ACC003,CUST003,user171@example.com,Power User,2024-06-18,2024-09-29,active
UL000172,ACC004,CUST004,user172@example.com,Viewer,2024-03-19,2024-10-15,active
UL000173,ACC004,CUST004,user173@example.com,Viewer,2024-08-14,2024-09-05,active
UL000174,ACC004,CUST004,user174@example.com,Admin,2024-07-27,2024-09-18,active
UL000175,ACC004,CUST004,user175@example.com,Viewer,2023-09-14,,inactive
UL000176,ACC004,CUST004,user176@example.com,Power User,2023-10-15,2024-09-25,active
UL000177,ACC004,CUST004,user177@example.com,Viewer,2024-02-10,2024-10-09,active
UL000178,ACC004,CUST004,user178@example.com,Viewer,2024-02-23,2024-10-14,active
UL000179,ACC004,CUST004,user179@example.com,Admin,2024-08-16,2024-09-29,active
UL000180,ACC004,CUST004,user180@example.com,Viewer,2024-04-26,2024-05-14,active
UL000181,ACC004,CUST004,user181@example.com,Viewer,2024-07-09,2024-09-24,active
UL000182,ACC004,CUST004,user182@example.com,Admin,2024-03-13,2024-03-22,active
UL000183,ACC004,CUST004,user183@example.com,Viewer,2024-07-31,,inactive
UL000184,ACC004,CUST004,user184@example.com,Viewer,2024-05-11,,inactive
UL000185,ACC004,CUST004,user185@example.com,Viewer,2023-09-28,2024-06-20,active
UL000186,ACC004,CUST004,user186@example.com,Viewer,2024-08-30,2024-09-30,active
UL000187,ACC004,CUST004,user187@example.com,Viewer,2024-05-18,2024-09-25,active
UL000188,ACC004,CUST004,user188@example.com,Power User,2024-04-18,2024-10-03,active
UL000189,ACC004,CUST004,user189@example.com,Viewer,2024-07-31,2024-09-15,active
UL000190,ACC004,CUST004,user190@example.com,Power User,2023-12-02,2024-10-09,active
UL000191,ACC005,CUST005,user191@example.com,Viewer,2024-02-05,2024-10-09,active
UL000192,ACC005,CUST005,user192@example.com,Admin,2024-07-28,2024-09-21,active
UL000193,ACC005,CUST005,user193@example.com,Viewer,2023-11-17,2024-10-16,active
UL000194,ACC005,CUST005,user194@example.com,Admin,2024-03-01,2024-09-19,active
UL000195,ACC005,CUST005,user195@example.com,Viewer,2024-08-19,2024-09-29,active
UL000196,ACC005,CUST005,user196@example.com,Viewer,2023-09-16,2024-10-01,active
UL000197,ACC005,CUST005,user197@example.com,Viewer,2023-10-27,2024-09-17,active
UL000198,ACC005,CUST005,user198@example.com,Viewer,2024-01-29,2024-10-02,active
UL000199,ACC005,CUST005,user199@example.com,Viewer,2024-06-27,2024-09-20,active
UL000200,ACC005,CUST005,user200@example.com,Admin,2024-02-07,2024-05-30,active
UL000201,ACC005,CUST005,user201@example.com,Power User,2023-12-25,2024-09-20,active
UL000202,ACC005,CUST005,user202@example.com,Power User,2023-11-26,2024-10-03,active
UL000203,ACC005,CUST005,user203@example.com,Viewer,2024-07-24,2024-09-19,active
UL000204,ACC005,CUST005,user204@example.com,Viewer,2024-07-23,2024-09-12,active
UL000205,ACC005,CUST005,user205@example.com,Viewer,2024-09-03,2024-10-05,active
UL000206,ACC005,CUST005,user206@example.com,Viewer,2024-02-03,2024-10-07,active
UL000207,ACC005,CUST005,user207@example.com,Power User,2024-01-14,,inactive
UL000208,ACC005,CUST005,user208@example.com,Power User,2024-03-25,2024-09-20,active
UL000209,ACC005,CUST005,user209@example.com,Viewer,2024-02-06,2024-10-05,active
UL000210,ACC005,CUST005,user210@example.com,Viewer,2023-12-14,2024-04-11,active
UL000211,ACC005,CUST005,user211@example.com,Viewer,2023-12-23,,inactive
UL000212,ACC005,CUST005,user212@example.com,Viewer,2023-11-19,,inactive
UL000213,ACC005,CUST005,user213@example.com,Power User,2024-07-19,2024-10-11,active
UL000214,ACC005,CUST005,user214@example.com,Admin,2023-11-01,,inactive
UL000215,ACC005,CUST005,user215@example.com,Power User,2024-09-17,2024-10-12,active
UL000216,ACC005,CUST005,user216@example.com,Viewer,2024-08-22,,inactive
UL000217,ACC005,CUST005,user217@example.com,Power User,2024-06-25,2024-09-18,active
UL000218,ACC005,CUST005,user218@example.com,Power User,2024-01-28,2024-10-16,active
UL000219,ACC005,CUST005,user219@example.com,Admin,2023-11-06,2024-09-20,active
UL000220,ACC005,CUST005,user220@example.com,Viewer,2023-09-15,2024-10-01,active
UL000221,ACC005,CUST005,user221@example.com,Viewer,2024-04-26,2024-09-23,active
UL000222,ACC005,CUST005,user222@example.com,Viewer,2024-03-19,2024-10-14,active
UL000223,ACC005,CUST005,user223@example.com,Viewer,2023-11-15,2024-09-23,active
UL000224,ACC005,CUST005,user224@example.com,Power User,2024-02-23,2024-06-15,active
UL000225,ACC005,CUST005,user225@example.com,Viewer,2024-04-26,2024-09-28,active
UL000226,ACC005,CUST005,user226@example.com,Power User,2023-12-10,2024-05-09,active
UL000227,ACC005,CUST005,user227@example.com,Viewer,2023-11-04,2024-01-25,active
UL000228,ACC005,CUST005,user228@example.com,Viewer,2023-09-18,2024-10-03,active
UL000229,ACC005,CUST005,user229@example.com,Power User,2024-06-09,2024-09-18,active
UL000230,ACC005,CUST005,user230@example.com,Viewer,2023-12-05,2024-10-12,active
UL000231,ACC005,CUST005,user231@example.com,Viewer,2024-05-25,2024-10-09,active
UL000232,ACC006,CUST006,user232@example.com,Power User,2024-01-31,2024-10-15,active
UL000233,ACC006,CUST006,user233@example.com,Admin,2023-09-26,2023-12-21,active
UL000234,ACC006,CUST006,user234@example.com,Viewer,2024-08-30,2024-10-17,active
UL000235,ACC006,CUST006,user235@example.com,Viewer,2024-03-24,2024-10-01,active
UL000236,ACC006,CUST006,user236@example.com,Power User,2024-07-26,2024-10-08,active
UL000237,ACC006,CUST006,user237@example.com,Admin,2023-10-07,2024-09-20,active
UL000238,ACC006,CUST006,user238@example.com,Viewer,2024-03-02,2024-05-13,active
UL000239,ACC006,CUST006,user239@example.com,Viewer,2024-05-22,2024-09-29,active
UL000240,ACC006,CUST006,user240@example.com,Viewer,2024-05-09,2024-10-14,active
UL000241,ACC006,CUST006,user241@example.com,Viewer,2024-04-17,2024-09-20,active
UL000242,ACC006,CUST006,user242@example.com,Viewer,2024-05-19,2024-09-24,active
UL000243,ACC006,CUST006,user243@example.com,Power User,2023-12-05,2024-01-03,active
UL000244,ACC006,CUST006,user244@example.com,Viewer,2024-07-07,2024-10-06,active
UL000245,ACC006,CUST006,user245@example.com,Viewer,2024-07-17,2024-09-22,active
UL000246,ACC006,CUST006,user246@example.com,Viewer,2024-04-04,2024-10-13,active
UL000247,ACC006,CUST006,user247@example.com,Admin,2024-09-06,2024-10-09,active
UL000248,ACC006,CUST006,user248@example.com,Power User,2024-04-08,2024-10-16,active
UL000249,ACC006,CUST006,user249@example.com,Viewer,2024-03-03,2024-09-19,active
UL000250,ACC006,CUST006,user250@example.com,Viewer,2024-06-16,2024-06-29,active
UL000251,ACC006,CUST006,user251@example.com,Viewer,2024-06-10,2024-09-21,active
UL000252,ACC006,CUST006,user252@example.com,Viewer,2024-08-24,2024-09-29,active
UL000253,ACC006,CUST006,user253@example.com,Power User,2024-03-29,2024-10-17,active
UL000254,ACC006,CUST006,user254@example.com,Viewer,2024-04-02,2024-09-25,active
UL000255,ACC006,CUST006,user255@example.com,Admin,2024-08-05,2024-09-18,active
UL000256,ACC006,CUST006,user256@example.com,Power User,2024-05-14,2024-10-06,active
UL000257,ACC006,CUST006,user257@example.com,Viewer,2024-05-14,2024-09-25,active
UL000258,ACC006,CUST006,user258@example.com,Admin,2024-07-26,2024-10-15,active
UL000259,ACC006,CUST006,user259@example.com,Viewer,2024-08-08,2024-10-10,active
UL000260,ACC006,CUST006,user260@example.com,Admin,2024-07-12,2024-09-23,active
UL000261,ACC006,CUST006,user261@example.com,Viewer,2024-09-10,2024-09-29,active
UL000262,ACC006,CUST006,user262@example.com,Admin,2023-12-29,2024-04-12,active
UL000263,ACC006,CUST006,user263@example.com,Viewer,2024-06-23,2024-09-22,active
UL000264,ACC006,CUST006,user264@example.com,Viewer,2023-12-05,2024-10-04,active
UL000265,ACC006,CUST006,user265@example.com,Power User,2024-03-09,2024-09-19,active
UL000266,ACC006,CUST006,user266@example.com,Admin,2023-10-17,2024-09-19,active
UL000267,ACC006,CUST006,user267@example.com,Viewer,2024-05-10,2024-10-08,active
UL000268,ACC006,CUST006,user268@example.com,Viewer,2024-08-03,,inactive
UL000269,ACC006,CUST006,user269@example.com,Viewer,2024-08-07,2024-10-08,active
UL000270,ACC006,CUST006,user270@example.com,Admin,2024-04-24,2024-09-18,active
UL000271,ACC006,CUST006,user271@example.com,Power User,2024-06-16,2024-10-02,active
UL000272,ACC006,CUST006,user272@example.com,Power User,2023-11-12,2024-09-23,active
UL000273,ACC006,CUST006,user273@example.com,Viewer,2024-06-29,2024-08-11,active
UL000274,ACC006,CUST006,user274@example.com,Viewer,2024-02-07,2024-10-06,active
UL000275,ACC006,CUST006,user275@example.com,Admin,2024-02-12,2024-10-11,active
UL000276,ACC006,CUST006,user276@example.com,Viewer,2024-09-08,2024-10-08,active
UL000277,ACC006,CUST006,user277@example.com,Viewer,2024-05-28,,inactive
UL000278,ACC006,CUST006,user278@example.com,Power User,2024-08-26,2024-10-02,active
UL000279,ACC006,CUST006,user279@example.com,Power User,2024-03-18,,inactive
UL000280,ACC006,CUST006,user280@example.com,Viewer,2023-10-28,2024-09-29,active
UL000281,ACC006,CUST006,user281@example.com,Power User,2024-09-05,2024-09-15,active
UL000282,ACC006,CUST006,user282@example.com,Viewer,2024-01-27,2024-09-24,active
UL000283,ACC006,CUST006,user283@example.com,Power User,2024-07-21,2024-09-22,active
UL000284,ACC006,CUST006,user284@example.com,Viewer,2024-01-25,2024-09-23,active
UL000285,ACC006,CUST006,user285@example.com,Power User,2024-09-07,,inactive
UL000286,ACC006,CUST006,user286@example.com,Admin,2024-09-10,2024-09-19,active
UL000287,ACC006,CUST006,user287@example.com,Viewer,2023-10-07,2024-10-07,active
UL000288,ACC006,CUST006,user288@example.com,Viewer,2024-04-28,2024-09-21,active
UL000289,ACC006,CUST006,user289@example.com,Power User,2024-01-02,2024-10-08,active
UL000290,ACC006,CUST006,user290@example.com,Admin,2024-06-21,2024-09-20,active
UL000291,ACC006,CUST006,user291@example.com,Viewer,2024-05-18,2024-08-15,active
UL000292,ACC006,CUST006,user292@example.com,Viewer,2024-04-14,,inactive
UL000293,ACC006,CUST006,user293@example.com,Power User,2024-03-11,2024-09-29,active
UL000294,ACC006,CUST006,user294@example.com,Viewer,2024-01-02,2024-05-20,active
UL000295,ACC006,CUST006,user295@example.com,Admin,2024-06-18,2024-09-24,active
UL000296,ACC006,CUST006,user296@example.com,Power User,2023-12-04,2024-09-30,active
UL000297,ACC006,CUST006,user297@example.com,Viewer,2023-09-22,2023-09-22,active
UL000298,ACC006,CUST006,user298@example.com,Power User,2024-04-28,2024-10-06,active
UL000299,ACC006,CUST006,user299@example.com,Admin,2023-11-08,2024-09-19,active
UL000300,ACC006,CUST006,user300@example.com,Viewer,2024-08-13,2024-09-12,active
UL000301,ACC006,CUST006,user301@example.com,Viewer,2023-09-28,,inactive
UL000302,ACC006,CUST006,user302@example.com,Power User,2024-01-23,2024-10-11,active
UL000303,ACC006,CUST006,user303@example.com,Viewer,2024-08-04,2024-09-19,active
UL000304,ACC006,CUST006,user304@example.com,Viewer,2024-02-26,2024-10-05,active
UL000305,ACC006,CUST006,user305@example.com,Viewer,2023-12-22,,inactive
UL000306,ACC006,CUST006,user306@example.com,Admin,2024-06-29,2024-10-13,active
UL000307,ACC006,CUST006,user307@example.com,Viewer,2023-10-25,2024-10-02,active
UL000308,ACC006,CUST006,user308@example.com,Admin,2023-11-03,2024-10-09,active
UL000309,ACC006,CUST006,user309@example.com,Power User,2024-04-11,2024-09-28,active
UL000310,ACC006,CUST006,user310@example.com,Admin,2024-09-12,2024-10-12,active
UL000311,ACC006,CUST006,user311@example.com,Viewer,2024-05-15,2024-09-26,active
UL000312,ACC006,CUST006,user312@example.com,Admin,2024-03-01,,inactive
UL000313,ACC006,CUST006,user313@example.com,Viewer,2024-02-07,2024-10-05,active
UL000314,ACC006,CUST006,user314@example.com,Viewer,2023-10-27,2024-10-13,active
UL000315,ACC006,CUST006,user315@example.com,Viewer,2024-01-19,2024-10-17,active
UL000316,ACC006,CUST006,user316@example.com,Viewer,2024-04-04,2024-09-22,active
UL000317,ACC006,CUST006,user317@example.com,Viewer,2024-05-16,2024-09-25,active
UL000318,ACC006,CUST006,user318@example.com,Viewer,2023-10-09,2024-03-28,active
UL000319,ACC006,CUST006,user319@example.com,Viewer,2023-09-15,2023-10-20,active
UL000320,ACC006,CUST006,user320@example.com,Power User,2024-06-22,2024-09-25,active
UL000321,ACC006,CUST006,user321@example.com,Viewer,2024-06-17,2024-10-02,active
UL000322,ACC006,CUST006,user322@example.com,Viewer,2023-10-20,2024-09-19,active
UL000323,ACC006,CUST006,user323@example.com,Viewer,2024-08-23,2024-09-13,active
UL000324,ACC006,CUST006,user324@example.com,Viewer,2024-05-12,2024-09-20,active
UL000325,ACC006,CUST006,user325@example.com,Viewer,2024-06-24,2024-09-28,active
UL000326,ACC006,CUST006,user326@example.com,Power User,2024-07-02,2024-09-21,active
UL000327,ACC006,CUST006,user327@example.com,Admin,2023-10-03,2024-10-12,active
UL000328,ACC006,CUST006,user328@example.com,Viewer,2024-05-27,2024-10-14,active
UL000329,ACC006,CUST006,user329@example.com,Viewer,2023-10-08,,inactive
